total,refugees.csv
Guvecci,tur-guvecci.csv
Islahiye,tur-islahiye.csv
Suruc,tur-suruc.csv
Beydagi,tur-beydagi.csv
Harran,tur-harran.csv
Cevdetiye,tur-cevdetiye.csv
Apaydin,tur-apaydin.csv
Altizonu,tur-altizonu.csv
Viransehir,tur-viransehir.csv
Akcakale,tur-akcakale.csv
Merkez_K,tur-merkez_k.csv
Elbeyli_Besiriye,tur-elbeyli_besiriye.csv
Ceylanpinar,tur-ceylanpinar.csv
Saricam,tur-saricam.csv
Nizip_1,tur-nizip_1.csv
Oncupinar,tur-oncupinar.csv
Merkez_A,tur-merkez_a.csv
Karkamis,tur-karkamis.csv
Nizip_2,tur-nizip_2.csv
Yayladagi,tur-yayladagi.csv
Midyat,tur-midyat.csv
Mafraq,jor-mafraq.csv
Irbid,jor-irbid.csv
Zarqa,jor-zarqa.csv
Maan,jor-maan.csv
Balqa,jor-balqa.csv
Azraq,jor-azraq.csv
Ajlun,jor-ajlun.csv
Zaatari,jor-zaatari.csv
Amman,jor-amman.csv
Emirati,jor-emirati.csv
Domiz1,irq-domiz1.csv
Akre,irq-akre.csv
Arbat,irq-arbat.csv
Gawilan,irq-gawilan.csv
Basirma,irq-basirma.csv
Domiz2,irq-domiz2.csv
Erbil,irq-erbil.csv
Dahuk,irq-dahuk.csv
Qushtapa,irq-qushtapa.csv
Sulaymaniyah,irq-sulaymaniyah.csv
Anbar,irq-anbar.csv
Darashakran,irq-darashakran.csv
Kawergosk,irq-kawergosk.csv
